trial, progress in trial, Presented Person, Smpled-Stim, SmpledStim-Location, FalseStim, FalseStim-Location, Pressed Key, Reaction Time
1,1,w1,c1,4,v1,-4,['right'],3407
2,1,w2,c2,-4,c1,4,['left'],1303
2,2,w2,v1,-4,v2,4,['left'],1540
2,3,m2,c2,4,v1,-4,['left'],1303
3,1,w1,c1,4,c2,-4,['right'],1132
3,2,w2,v1,4,c1,-4,['left'],1231
4,1,m2,c2,4,c1,-4,['right'],1409
4,2,w1,v2,-4,v1,4,['left'],1122
4,3,m2,v2,-4,v1,4,['left'],1919
4,4,m1,v1,-4,c2,4,['left'],1146
4,5,w1,c1,-4,c2,4,['right'],1294
5,1,m1,v1,-4,v2,4,['left'],1002
5,2,w2,c2,-4,c1,4,['left'],1051
5,3,w2,c2,-4,c1,4,['left'],1338
5,4,w1,c1,4,c2,-4,['right'],1142
5,5,m1,c1,4,c2,-4,['right'],2122
5,6,m2,c2,4,c1,-4,['right'],1127
5,7,m2,v2,-4,c1,4,['left'],1339
5,8,m1,c1,-4,c2,4,['right'],2199
6,1,m2,c2,-4,v1,4,['left'],1352
6,2,m1,c1,-4,c2,4,['left'],1739
6,3,m1,v1,4,c2,-4,['right'],1463
6,4,w2,c2,-4,v2,4,['left'],1011
6,5,m2,v2,4,v1,-4,['right'],1812
6,6,w1,v2,4,v1,-4,['right'],1405
6,7,w2,v1,4,v2,-4,['right'],1078
6,8,m2,v2,4,v1,-4,['right'],2268
6,9,w1,c1,4,c2,-4,['right'],1459
6,10,w2,v1,-4,v2,4,['left'],994
6,11,m2,c2,-4,v1,4,['left'],1395
6,12,w2,c2,4,c1,-4,['right'],1509
6,13,m1,v1,-4,c2,4,['left'],994
6,14,w1,v2,4,v1,-4,['right'],1099
6,15,m1,c1,4,v2,-4,['right'],2088
6,16,w1,c1,-4,v1,4,['left'],2255
