trial, progress in trial, Presented Person, Smpled-Stim, SmpledStim-Location, FalseStim, FalseStim-Location, Pressed Key, Reaction Time
1,1,m1,v1,-4,c2,4,None,8000
2,1,w1,c1,4,c2,-4,['left'],1276
3,1,m1,v1,4,c2,-4,['right'],291
3,2,w2,v1,-4,v2,4,None,8000
4,1,w2,c2,4,c1,-4,['right'],1905
4,2,w1,c1,-4,v1,4,['left'],2791
5,1,w1,v2,4,v1,-4,['right'],1298
5,2,m1,v1,-4,c2,4,['left'],832
5,3,w2,v1,4,v2,-4,['right'],1128
5,4,m2,v2,-4,v1,4,['left'],1468
5,5,m1,c1,4,v2,-4,['right'],1730
5,6,w2,v1,-4,v2,4,['left'],1758
5,7,w2,c2,-4,v2,4,['left'],1562
5,8,m2,v2,4,c1,-4,['right'],1309
5,9,m2,c2,-4,v1,4,['right'],1602
6,1,m2,c2,-4,v1,4,['left'],1439
6,2,m2,v2,4,v1,-4,['right'],1247
6,3,m1,v1,4,c2,-4,['right'],846
6,4,w2,v1,-4,c1,4,['left'],933
6,5,m2,v2,4,v1,-4,['right'],1433
6,6,w2,v1,-4,v2,4,['left'],897
6,7,w1,c1,-4,v1,4,['left'],1110
6,8,m1,v1,-4,v2,4,['left'],1947
6,9,w2,c2,4,c1,-4,['right'],3406
7,1,w1,c1,4,c2,-4,['right'],1468
7,2,w2,c2,-4,c1,4,['left'],1994
7,3,w2,c2,4,c1,-4,['right'],2420
7,4,m1,v1,4,v2,-4,['right'],1213
7,5,w1,c1,4,v1,-4,['right'],1206
7,6,m2,c2,-4,v1,4,['left'],1103
7,7,m2,c2,4,v1,-4,['right'],1956
7,8,m1,v1,4,c2,-4,['right'],904
7,9,w1,v2,-4,c2,4,['left'],1045
7,10,m2,v2,-4,c1,4,['left'],2332
7,11,m1,c1,4,c2,-4,['right'],2432
7,12,w1,v2,-4,v1,4,['left'],1121
7,13,m1,c1,-4,v2,4,['left'],1741
7,14,w2,v1,4,v2,-4,['right'],961
7,15,m2,v2,-4,v1,4,['left'],1189
7,16,w2,v1,4,c1,-4,['right'],747
