trial, progress in trial, Presented Person, Smpled-Stim, SmpledStim-Location, FalseStim, FalseStim-Location, Pressed Key, Reaction Time
1,1,w2,v1,4,v2,-4,['left'],3618
2,1,m2,v2,-4,v1,4,['left'],1870
2,2,w2,c2,4,c1,-4,['left'],2548
3,1,m1,v1,4,c2,-4,['left'],2855
4,1,w1,c1,-4,v1,4,['left'],1127
4,2,m1,v1,-4,v2,4,['left'],1521
4,3,m2,v2,4,v1,-4,['right'],870
4,4,m1,c1,-4,c2,4,['left'],1668
4,5,m2,c2,-4,v1,4,['left'],994
4,6,w1,c1,-4,v1,4,['left'],1115
4,7,w1,v2,4,v1,-4,['left'],3504
5,1,m1,c1,-4,c2,4,['left'],1477
5,2,m1,v1,4,v2,-4,['right'],1131
5,3,w1,v2,-4,v1,4,['left'],1383
5,4,w1,c1,4,v1,-4,['right'],1913
5,5,m2,v2,-4,v1,4,['left'],822
5,6,m2,v2,4,c1,-4,['right'],1030
5,7,w2,c2,4,v2,-4,['left'],1118
6,1,w1,v2,4,c2,-4,['right'],2207
6,2,m1,v1,-4,c2,4,['left'],889
6,3,w1,v2,-4,c2,4,['left'],1551
6,4,w2,c2,-4,v2,4,['left'],1250
6,5,w2,v1,-4,c1,4,['left'],865
6,6,m2,v2,-4,c1,4,['left'],1072
6,7,m2,c2,4,v1,-4,['right'],686
6,8,w2,v1,-4,c1,4,['left'],1732
6,9,w1,c1,-4,c2,4,['left'],2016
6,10,w2,c2,4,v2,-4,['right'],1681
6,11,m1,c1,-4,v2,4,['left'],1063
6,12,m1,v1,-4,v2,4,['left'],741
6,13,m2,c2,4,v1,-4,['right'],977
6,14,w1,c1,-4,v1,4,['left'],1155
6,15,m2,v2,4,v1,-4,['right'],814
6,16,m1,c1,-4,c2,4,['left'],1606
