trial, progress in trial, Presented Person, Smpled-Stim, SmpledStim-Location, FalseStim, FalseStim-Location, Pressed Key, Reaction Time
1,1,w1,v2,-4,c2,4,['left'],6176
2,1,m2,c2,4,c1,-4,['right'],1138
2,2,m2,v2,-4,v1,4,['left'],2790
3,1,m2,c2,4,c1,-4,['left'],1616
4,1,m1,v1,-4,v2,4,['left'],1083
4,2,w2,v1,-4,v2,4,['right'],1496
5,1,m1,c1,-4,v2,4,['right'],1254
6,1,w1,v2,-4,v1,4,['right'],2677
7,1,w1,v2,4,v1,-4,['right'],2663
8,1,w2,v1,4,v2,-4,['right'],1287
8,2,w1,c1,4,v1,-4,['right'],1613
8,3,w1,c1,-4,v1,4,['right'],1902
9,1,m1,v1,-4,v2,4,['left'],1796
9,2,m1,v1,4,v2,-4,['right'],854
9,3,m2,c2,-4,c1,4,['left'],1581
9,4,w2,v1,-4,v2,4,['left'],3255
10,1,w1,v2,-4,c2,4,['left'],1287
10,2,w2,v1,4,c1,-4,['right'],869
10,3,m2,c2,4,c1,-4,['right'],1028
10,4,m1,c1,-4,c2,4,['left'],1323
10,5,m1,v1,-4,c2,4,['right'],920
11,1,w2,c2,-4,c1,4,['right'],1163
12,1,w2,v1,-4,c1,4,['left'],933
12,2,w1,v2,4,v1,-4,['right'],929
12,3,m1,v1,-4,c2,4,['left'],964
12,4,w2,v1,4,v2,-4,['right'],839
12,5,m1,v1,4,v2,-4,['right'],895
12,6,m1,c1,-4,v2,4,['left'],1740
12,7,w1,c1,-4,v1,4,['left'],1536
12,8,w1,v2,4,c2,-4,['right'],1044
12,9,m2,v2,4,c1,-4,['right'],859
12,10,m2,c2,-4,c1,4,['left'],1162
12,11,w2,c2,4,v2,-4,['left'],1828
13,1,m1,c1,-4,v2,4,['right'],1106
14,1,m1,c1,4,v2,-4,['right'],1538
14,2,w2,c2,4,v2,-4,['right'],1830
14,3,w1,v2,-4,v1,4,['left'],1670
14,4,w2,v1,-4,v2,4,['left'],3773
15,1,w2,c2,-4,c1,4,['left'],3312
16,1,w2,v1,4,c1,-4,['right'],1681
16,2,m1,v1,-4,c2,4,['left'],1471
16,3,w2,c2,-4,v2,4,['left'],1370
16,4,w2,v1,4,c1,-4,['right'],966
16,5,w2,c2,-4,c1,4,['left'],1136
16,6,w1,v2,4,v1,-4,['right'],1116
16,7,m2,c2,4,v1,-4,['right'],1089
16,8,w1,c1,-4,v1,4,['left'],1183
16,9,m2,v2,-4,c1,4,['right'],1745
17,1,w2,c2,-4,c1,4,['left'],1941
17,2,w1,c1,4,v1,-4,['right'],1641
17,3,m1,c1,4,c2,-4,['right'],1609
17,4,m2,v2,4,c1,-4,['right'],1506
17,5,w1,v2,4,v1,-4,['right'],1040
17,6,m2,c2,-4,c1,4,['left'],1000
17,7,m2,c2,-4,v1,4,['left'],1321
17,8,m1,v1,4,c2,-4,['right'],1757
17,9,w2,c2,-4,v2,4,['left'],1137
17,10,w2,v1,-4,v2,4,['left'],1101
17,11,w2,v1,4,v2,-4,['right'],1066
17,12,m1,c1,-4,c2,4,['left'],1456
17,13,w1,v2,4,c2,-4,['right'],1720
17,14,w1,c1,4,v1,-4,['right'],2253
17,15,m2,v2,-4,v1,4,['left'],1732
17,16,m1,v1,4,v2,-4,['right'],1152
