trial, progress in trial, Presented Person, Smpled-Stim, SmpledStim-Location, FalseStim, FalseStim-Location, Pressed Key, Reaction Time
1,1,m2,v2,-4,v1,4,['left'],2752
2,1,m2,c2,4,c1,-4,['right'],345
2,2,w1,c1,4,c2,-4,['right'],2236
2,3,m1,v1,-4,c2,4,['right'],1187
3,1,m2,c2,4,v1,-4,['right'],675
3,2,w1,c1,4,c2,-4,['right'],928
3,3,w1,v2,4,c2,-4,['right'],821
3,4,m2,v2,4,c1,-4,['right'],1117
3,5,w2,c2,4,v2,-4,['left'],1066
4,1,m1,v1,-4,v2,4,['left'],894
4,2,w1,c1,4,v1,-4,['right'],875
4,3,m1,c1,-4,c2,4,['right'],850
5,1,m1,v1,4,v2,-4,['right'],780
5,2,w2,v1,4,c1,-4,['left'],902
6,1,m2,v2,4,v1,-4,['right'],703
6,2,m1,v1,4,c2,-4,['right'],708
6,3,w2,v1,4,v2,-4,['right'],1138
6,4,m1,c1,4,c2,-4,['left'],765
7,1,m2,v2,4,c1,-4,['left'],949
8,1,m2,v2,4,c1,-4,['right'],675
8,2,m1,c1,-4,v2,4,['left'],841
8,3,w1,v2,-4,c2,4,['left'],889
8,4,w2,c2,4,c1,-4,['right'],967
8,5,w1,c1,-4,v1,4,['left'],978
8,6,w2,v1,-4,c1,4,['left'],731
8,7,w1,v2,4,c2,-4,['right'],1397
8,8,m1,v1,4,v2,-4,['right'],831
8,9,m1,c1,-4,c2,4,['left'],1342
8,10,m1,v1,-4,c2,4,['left'],786
8,11,m2,v2,4,v1,-4,['right'],859
8,12,w2,v1,-4,c1,4,['right'],1403
9,1,m2,c2,4,v1,-4,['right'],1005
9,2,w2,c2,-4,c1,4,['left'],1238
9,3,w2,v1,4,v2,-4,['right'],670
9,4,w1,v2,4,c2,-4,['right'],956
9,5,m1,c1,4,v2,-4,['right'],736
9,6,w2,v1,4,v2,-4,['right'],620
9,7,m1,c1,4,v2,-4,['right'],668
9,8,w1,c1,-4,c2,4,['left'],850
