trial, progress in trial, Presented Person, Smpled-Stim, SmpledStim-Location, FalseStim, FalseStim-Location, Pressed Key, Reaction Time
1,1,w1,v2,-4,v1,4,['right'],4253
2,1,w2,v1,-4,c1,4,['left'],1399
2,2,w1,v2,4,v1,-4,['left'],1432
3,1,w2,v1,4,v2,-4,['right'],1923
3,2,w2,c2,4,c1,-4,['right'],2112
3,3,w1,v2,-4,c2,4,['right'],2037
4,1,m1,c1,-4,v2,4,['right'],1482
5,1,m2,v2,-4,c1,4,['right'],1793
6,1,w1,v2,4,c2,-4,['left'],1842
7,1,m2,c2,4,v1,-4,['right'],1523
7,2,m1,v1,-4,c2,4,['left'],1376
7,3,m1,c1,-4,c2,4,['left'],2595
8,1,w1,v2,4,v1,-4,['left'],2735
9,1,m2,v2,4,c1,-4,['right'],1987
9,2,m1,c1,-4,v2,4,['right'],2165
10,1,w1,v2,-4,v1,4,['right'],1838
11,1,m1,v1,-4,c2,4,['right'],1931
12,1,m2,c2,4,v1,-4,['left'],2617
13,1,m2,c2,4,v1,-4,['right'],3914
14,1,m2,v2,4,c1,-4,['right'],2582
15,1,m1,v1,-4,v2,4,['left'],1024
15,2,m2,c2,-4,c1,4,['left'],2512
16,1,w1,c1,4,c2,-4,['right'],1771
16,2,w2,c2,-4,v2,4,['left'],1277
16,3,w1,v2,-4,v1,4,['left'],2475
16,4,m1,v1,4,c2,-4,['right'],1794
16,5,m2,v2,4,c1,-4,['left'],1243
17,1,w1,c1,-4,v1,4,['left'],1602
17,2,m1,v1,4,v2,-4,['right'],1540
17,3,m1,c1,-4,v2,4,['left'],800
17,4,w2,c2,4,v2,-4,['right'],1753
17,5,m2,v2,4,v1,-4,['right'],1700
17,6,m1,c1,-4,c2,4,['left'],1353
17,7,w1,v2,4,v1,-4,['left'],1613
18,1,m2,v2,-4,v1,4,['left'],1961
18,2,w2,v1,4,c1,-4,['left'],2204
19,1,w1,v2,-4,v1,4,['right'],1871
20,1,m1,c1,4,c2,-4,['right'],1801
20,2,m2,v2,4,c1,-4,['right'],1162
20,3,m1,v1,-4,v2,4,['left'],2229
20,4,m1,v1,4,v2,-4,['right'],1021
20,5,w2,v1,-4,c1,4,['left'],1750
20,6,w1,v2,-4,c2,4,['left'],3929
21,1,m1,v1,4,c2,-4,['right'],955
21,2,w1,c1,-4,v1,4,['left'],2103
21,3,w1,v2,4,c2,-4,['right'],1988
21,4,w1,c1,-4,c2,4,['left'],2398
21,5,m2,c2,4,v1,-4,['right'],1720
21,6,m1,c1,-4,v2,4,['left'],1341
21,7,w2,c2,-4,c1,4,['left'],1777
21,8,m1,v1,4,c2,-4,['right'],891
21,9,w1,v2,4,v1,-4,['right'],2849
22,1,w1,v2,-4,v1,4,['left'],1642
22,2,m1,c1,-4,c2,4,['left'],1162
22,3,m2,v2,-4,c1,4,['left'],1469
22,4,m1,v1,-4,v2,4,['left'],1068
22,5,m2,c2,-4,c1,4,['left'],1634
22,6,w1,c1,4,v1,-4,['right'],2306
22,7,w1,c1,-4,c2,4,['left'],1512
22,8,w2,c2,4,c1,-4,['right'],1357
22,9,m2,c2,4,c1,-4,['right'],2384
22,10,w1,v2,-4,v1,4,['left'],1722
22,11,m2,v2,-4,v1,4,['left'],1207
22,12,m1,v1,-4,v2,4,['left'],952
22,13,m1,c1,-4,c2,4,['left'],1500
22,14,w2,v1,-4,c1,4,['left'],1569
22,15,w2,c2,4,v2,-4,['right'],1180
22,16,w2,v1,-4,v2,4,['left'],1534
