trial, progress in trial, Presented Person, Smpled-Stim, SmpledStim-Location, FalseStim, FalseStim-Location, Pressed Key, Reaction Time
1,1,m2,v2,4,c1,-4,['right'],2215
1,2,w1,c1,4,v1,-4,['left'],2263
2,1,w2,v1,-4,v2,4,['right'],1661
3,1,m1,v1,-4,c2,4,['right'],1846
4,1,m1,v1,-4,c2,4,['left'],838
4,2,m2,c2,-4,c1,4,['left'],1901
4,3,w1,c1,-4,c2,4,['left'],2547
5,1,m1,v1,-4,c2,4,['left'],840
5,2,w2,v1,4,c1,-4,['right'],864
5,3,m1,c1,-4,v2,4,['left'],815
5,4,w1,v2,4,v1,-4,['right'],919
5,5,w2,v1,-4,c1,4,['left'],1020
5,6,m1,v1,-4,v2,4,['right'],988
6,1,w2,c2,4,c1,-4,['right'],1410
6,2,w2,v1,-4,v2,4,['left'],1218
6,3,m2,c2,-4,v1,4,['left'],1611
6,4,w2,v1,4,v2,-4,['right'],1267
6,5,w1,c1,-4,v1,4,['left'],1474
6,6,w1,v2,4,v1,-4,['right'],1361
6,7,w2,c2,4,v2,-4,['right'],1252
6,8,w1,v2,4,v1,-4,['right'],1435
6,9,w1,c1,4,v1,-4,['right'],1219
6,10,m2,c2,4,c1,-4,['right'],892
6,11,m1,v1,-4,v2,4,['left'],1097
6,12,m1,c1,4,c2,-4,['right'],1183
6,13,m2,v2,-4,v1,4,['left'],1328
6,14,m1,c1,-4,c2,4,['left'],1276
6,15,m1,v1,4,v2,-4,['right'],979
6,16,m2,v2,4,c1,-4,['right'],1356
