trial, progress in trial, Presented Person, Smpled-Stim, SmpledStim-Location, FalseStim, FalseStim-Location, Pressed Key, Reaction Time
1,1,w2,c2,4,c1,-4,['left'],2470
2,1,m1,v1,-4,v2,4,['left'],1532
2,2,w2,v1,4,v2,-4,['right'],6843
3,1,m2,v2,-4,c1,4,['left'],1258
3,2,m1,c1,4,v2,-4,['right'],1494
3,3,w1,v2,4,c2,-4,['left'],1383
4,1,m1,v1,4,c2,-4,['right'],1015
4,2,w1,c1,-4,c2,4,['right'],1041
5,1,m2,v2,4,v1,-4,['right'],1334
5,2,w2,c2,-4,c1,4,['left'],1783
5,3,w2,v1,4,c1,-4,['right'],1769
5,4,m1,c1,4,v2,-4,['right'],1390
5,5,m2,c2,4,v1,-4,['right'],1533
5,6,m2,c2,-4,c1,4,['left'],1368
5,7,m1,c1,4,v2,-4,['right'],1948
5,8,m1,v1,-4,v2,4,['left'],1242
5,9,m1,v1,-4,v2,4,['left'],1469
5,10,w1,c1,-4,v1,4,['left'],1874
5,11,w1,c1,4,c2,-4,['right'],1302
5,12,w2,v1,4,v2,-4,['right'],1028
5,13,m2,v2,-4,c1,4,['left'],1388
5,14,w1,v2,-4,c2,4,['right'],2323
6,1,w1,v2,4,v1,-4,['right'],1277
6,2,w1,c1,-4,c2,4,['left'],769
6,3,m1,c1,4,c2,-4,['right'],2204
6,4,w1,v2,4,c2,-4,['right'],1360
6,5,w2,v1,-4,c1,4,['left'],867
6,6,m2,c2,-4,v1,4,['left'],1335
6,7,m1,c1,4,c2,-4,['right'],1087
6,8,w2,v1,4,c1,-4,['right'],1481
6,9,m1,v1,-4,v2,4,['left'],2139
6,10,m1,v1,-4,v2,4,['left'],918
6,11,w2,c2,-4,c1,4,['left'],1850
6,12,m2,v2,-4,v1,4,['left'],1064
6,13,w1,c1,-4,v1,4,['left'],1458
6,14,m2,c2,-4,c1,4,['left'],894
6,15,w2,c2,-4,c1,4,['left'],1120
6,16,m2,v2,4,v1,-4,['right'],998
