trial, progress in trial, Presented Person, Smpled-Stim, SmpledStim-Location, FalseStim, FalseStim-Location, Pressed Key, Reaction Time
1,1,w1,v2,4,v1,-4,['left'],3753
2,1,m2,v2,-4,v1,4,None,8000
3,1,m1,v1,4,c2,-4,['right'],3483
4,1,w2,c2,4,c1,-4,['right'],2227
4,2,m1,c1,-4,c2,4,['left'],4691
5,1,w1,c1,4,c2,-4,['right'],5580
6,1,m2,c2,-4,c1,4,['right'],3033
7,1,w1,c1,-4,c2,4,['left'],4073
8,1,m2,v2,-4,v1,4,['left'],5023
9,1,w2,c2,4,v2,-4,['right'],5234
10,1,m1,v1,4,v2,-4,['right'],2586
11,1,m2,v2,-4,v1,4,['left'],4996
12,1,w2,v1,4,v2,-4,['left'],1959
13,1,m2,c2,-4,c1,4,['left'],1992
13,2,m2,v2,-4,c1,4,['left'],4538
14,1,m2,v2,4,c1,-4,['right'],787
14,2,m2,c2,4,c1,-4,['left'],1190
15,1,w2,c2,4,c1,-4,['right'],1466
15,2,w2,v1,-4,c1,4,['left'],1617
15,3,m2,c2,-4,v1,4,['left'],1297
15,4,m2,c2,-4,v1,4,['left'],886
15,5,w1,c1,-4,v1,4,['right'],2084
16,1,w1,v2,4,c2,-4,['right'],2221
16,2,w1,c1,-4,c2,4,['left'],1774
16,3,m2,c2,-4,v1,4,['left'],1033
16,4,m1,v1,-4,v2,4,['right'],1345
17,1,w1,v2,4,c2,-4,['right'],3149
18,1,w2,c2,4,v2,-4,['right'],1112
18,2,m1,v1,4,c2,-4,['left'],1012
19,1,w1,v2,4,c2,-4,['right'],2356
19,2,m1,c1,4,v2,-4,['right'],1560
19,3,m2,c2,4,v1,-4,['right'],1530
19,4,w2,v1,-4,c1,4,['right'],3390
20,1,w1,c1,4,v1,-4,['left'],1779
21,1,m2,c2,-4,c1,4,['left'],2615
22,1,m1,c1,4,v2,-4,['right'],1118
22,2,w2,v1,-4,v2,4,['left'],2578
23,1,w2,c2,4,v2,-4,['right'],1156
23,2,m2,c2,4,v1,-4,['right'],879
23,3,w1,c1,4,v1,-4,['right'],1573
23,4,m1,v1,4,c2,-4,['left'],1087
24,1,m2,v2,4,v1,-4,['right'],2121
24,2,w2,v1,-4,v2,4,['right'],942
25,1,m1,c1,-4,v2,4,['right'],1567
26,1,m1,c1,-4,c2,4,['left'],1120
26,2,w1,v2,4,v1,-4,['left'],1804
27,1,m1,v1,-4,c2,4,['right'],1101
28,1,m1,c1,4,v2,-4,['right'],2664
29,1,m2,v2,4,c1,-4,['right'],1617
29,2,w1,v2,4,v1,-4,['right'],3042
30,1,m2,v2,-4,v1,4,['left'],1132
30,2,w1,v2,-4,v1,4,['left'],744
30,3,m2,c2,-4,v1,4,['left'],899
30,4,m2,c2,4,v1,-4,['right'],912
30,5,w2,v1,-4,v2,4,['right'],1085
31,1,w1,c1,4,v1,-4,['left'],1214
32,1,m1,v1,-4,c2,4,['right'],1277
33,1,m1,v1,4,v2,-4,['left'],2311
34,1,m2,v2,-4,c1,4,['right'],983
35,1,w2,v1,4,v2,-4,['right'],1649
35,2,w1,v2,-4,c2,4,['left'],2537
36,1,m2,c2,-4,c1,4,['right'],1168
37,1,w1,c1,-4,c2,4,['right'],1202
38,1,w1,v2,4,c2,-4,['left'],1087
39,1,m1,v1,4,c2,-4,['right'],1225
39,2,w1,c1,4,v1,-4,['left'],1096
40,1,m1,v1,-4,v2,4,['right'],1052
41,1,w2,v1,4,v2,-4,['right'],1069
41,2,m2,v2,4,v1,-4,['right'],1356
41,3,w2,c2,-4,c1,4,['right'],1471
42,1,w1,v2,-4,c2,4,['right'],1770
43,1,m1,v1,-4,v2,4,['right'],2770
44,1,w1,c1,4,v1,-4,['right'],943
44,2,m2,v2,4,c1,-4,['left'],1555
45,1,w2,v1,4,c1,-4,['right'],1439
45,2,w1,v2,-4,v1,4,['left'],1103
45,3,m2,v2,-4,v1,4,['right'],1364
46,1,m1,c1,4,v2,-4,['right'],1359
46,2,m1,c1,-4,c2,4,['right'],786
47,1,m1,v1,-4,v2,4,['right'],940
48,1,w2,c2,-4,v2,4,['left'],1192
48,2,m1,v1,-4,v2,4,['right'],1082
49,1,w2,c2,-4,c1,4,['left'],1135
49,2,m2,c2,4,v1,-4,['right'],843
49,3,m1,c1,-4,v2,4,['left'],2690
50,1,w2,v1,-4,v2,4,['left'],1119
50,2,m1,v1,4,v2,-4,['left'],1052
51,1,m1,c1,4,c2,-4,['right'],793
51,2,w1,c1,-4,v1,4,['left'],1066
51,3,m1,v1,4,c2,-4,['left'],1041
52,1,m1,c1,-4,c2,4,['left'],829
52,2,w1,c1,4,c2,-4,['right'],789
52,3,m2,v2,-4,v1,4,['left'],1111
52,4,m2,c2,-4,v1,4,['left'],1107
52,5,m2,c2,-4,c1,4,['left'],809
52,6,w1,v2,-4,c2,4,['left'],1810
52,7,w2,v1,4,c1,-4,['right'],1627
52,8,m1,v1,-4,c2,4,['left'],1474
52,9,m1,v1,-4,v2,4,['left'],889
52,10,w2,c2,4,v2,-4,['right'],1495
52,11,w1,c1,4,v1,-4,['right'],1820
52,12,w2,v1,-4,v2,4,['left'],1925
52,13,m2,v2,4,v1,-4,['right'],2154
52,14,w1,v2,-4,c2,4,['left'],3205
