trial, progress in trial, Presented Person, Smpled-Stim, SmpledStim-Location, FalseStim, FalseStim-Location, Pressed Key, Reaction Time
1,1,m2,c2,-4,c1,4,['left'],7855
2,1,m1,c1,4,v2,-4,['right'],2009
2,2,m1,v1,-4,v2,4,['left'],1218
2,3,m2,c2,-4,c1,4,['right'],1450
3,1,w1,v2,-4,v1,4,['left'],2100
3,2,m2,v2,4,c1,-4,['left'],2513
4,1,w1,v2,-4,c2,4,['left'],2143
4,2,w1,c1,4,v1,-4,['left'],2026
5,1,w1,v2,-4,v1,4,['left'],978
5,2,m2,c2,-4,v1,4,['left'],2652
6,1,w2,v1,-4,c1,4,['left'],1859
6,2,m2,v2,4,c1,-4,['right'],1691
6,3,w2,v1,-4,c1,4,['left'],817
6,4,m2,c2,-4,v1,4,['left'],1129
6,5,w2,c2,-4,v2,4,['right'],1309
7,1,m2,v2,-4,v1,4,['left'],1925
7,2,w1,c1,-4,v1,4,['left'],1578
7,3,w2,c2,4,c1,-4,['right'],1468
7,4,w2,c2,4,v2,-4,['right'],915
7,5,w1,c1,-4,v1,4,['left'],1447
7,6,m2,c2,4,c1,-4,['right'],1711
7,7,m1,v1,4,v2,-4,['right'],1499
7,8,m1,c1,-4,v2,4,['left'],2153
7,9,m2,c2,4,v1,-4,['right'],1284
7,10,w1,v2,4,v1,-4,['right'],2458
7,11,w1,v2,-4,v1,4,['left'],1386
7,12,w2,v1,-4,v2,4,['left'],924
7,13,w2,v1,4,v2,-4,['right'],848
7,14,m2,v2,-4,v1,4,['left'],1359
7,15,m1,c1,4,v2,-4,['right'],1282
7,16,m1,v1,-4,v2,4,['left'],1712
