trial, progress in trial, Presented Person, Smpled-Stim, SmpledStim-Location, FalseStim, FalseStim-Location, Pressed Key, Reaction Time
1,1,m1,v1,-4,c2,4,['left'],2338
1,2,w2,v1,-4,v2,4,['left'],2430
1,3,m2,v2,4,v1,-4,['right'],1039
1,4,m2,c2,-4,c1,4,['right'],2838
2,1,m2,v2,-4,c1,4,['left'],1270
2,2,m1,v1,-4,c2,4,['left'],1229
2,3,w1,v2,-4,v1,4,['right'],1749
3,1,w2,c2,4,c1,-4,['left'],1508
4,1,m1,c1,-4,c2,4,['left'],1505
4,2,m2,v2,4,v1,-4,['right'],1358
4,3,m2,c2,-4,c1,4,['left'],1305
4,4,w2,c2,4,v2,-4,['right'],2126
4,5,w1,v2,-4,c2,4,['left'],2091
4,6,m1,c1,-4,c2,4,['left'],1121
4,7,m1,v1,4,v2,-4,['right'],1662
4,8,w2,c2,-4,c1,4,['right'],1804
5,1,m2,v2,-4,v1,4,['left'],2756
6,1,m1,c1,4,c2,-4,['right'],1809
6,2,m1,v1,-4,v2,4,['left'],1082
6,3,w1,c1,-4,v1,4,['left'],1368
6,4,w1,v2,-4,c2,4,['right'],1394
7,1,m2,c2,4,c1,-4,['right'],1495
7,2,w1,c1,-4,c2,4,['right'],1332
8,1,w2,c2,-4,c1,4,['left'],1321
8,2,w1,v2,4,c2,-4,['right'],942
8,3,m1,c1,4,c2,-4,['right'],1010
8,4,m1,c1,4,v2,-4,['right'],1210
8,5,m2,c2,-4,c1,4,['left'],1163
8,6,m2,c2,4,v1,-4,['right'],1125
8,7,w2,v1,4,v2,-4,['right'],1306
8,8,w1,c1,4,v1,-4,['right'],1333
8,9,w1,v2,4,c2,-4,['right'],1497
8,10,m2,v2,4,c1,-4,['right'],999
8,11,w1,c1,4,v1,-4,['right'],1320
8,12,m2,v2,-4,c1,4,['right'],1877
9,1,m2,c2,-4,v1,4,['left'],1069
9,2,w2,c2,-4,c1,4,['right'],1620
10,1,m1,v1,-4,v2,4,['left'],1086
10,2,w1,c1,-4,c2,4,['right'],1396
11,1,m1,v1,4,c2,-4,['left'],1993
12,1,w2,v1,4,v2,-4,['left'],1339
13,1,w2,v1,-4,c1,4,['left'],1115
13,2,w1,c1,4,c2,-4,['left'],1304
14,1,w1,c1,-4,c2,4,['left'],1062
14,2,m1,c1,4,c2,-4,['right'],1037
14,3,w1,v2,-4,c2,4,['left'],1492
14,4,m2,c2,4,c1,-4,['right'],1026
14,5,m1,v1,4,v2,-4,['right'],1298
14,6,w2,c2,4,v2,-4,['left'],1240
15,1,m1,c1,4,v2,-4,['right'],1049
15,2,w2,v1,4,v2,-4,['left'],1240
16,1,w1,v2,-4,v1,4,['left'],1033
16,2,w2,v1,-4,v2,4,['right'],1337
17,1,w2,c2,4,v2,-4,['left'],2093
18,1,w2,c2,-4,c1,4,['left'],565
18,2,w2,c2,-4,v2,4,['left'],1240
18,3,w2,v1,-4,v2,4,['left'],2128
18,4,m1,c1,4,v2,-4,['right'],1956
18,5,m1,c1,4,c2,-4,['left'],1727
19,1,w1,c1,4,c2,-4,['right'],1643
19,2,m2,v2,4,c1,-4,['right'],1291
19,3,m2,v2,-4,v1,4,['left'],1289
19,4,w1,c1,4,v1,-4,['left'],1775
20,1,m2,c2,4,v1,-4,['right'],1002
20,2,w1,v2,4,c2,-4,['right'],1499
20,3,m1,c1,-4,v2,4,['left'],1265
20,4,m1,v1,-4,c2,4,['left'],1783
20,5,w2,v1,4,v2,-4,['right'],1137
20,6,m1,v1,-4,v2,4,['left'],1125
20,7,m2,v2,4,c1,-4,['right'],1200
20,8,w2,c2,4,c1,-4,['right'],1529
20,9,m2,c2,-4,c1,4,['left'],1333
20,10,m2,v2,4,v1,-4,['right'],1009
20,11,m1,c1,4,v2,-4,['right'],1072
20,12,w2,c2,4,v2,-4,['left'],1199
21,1,m2,c2,-4,c1,4,['left'],1167
21,2,m1,v1,-4,c2,4,['left'],1058
21,3,w2,v1,4,c1,-4,['left'],1489
22,1,m1,c1,4,v2,-4,['right'],1189
22,2,w1,c1,4,c2,-4,['right'],1350
22,3,m2,c2,-4,c1,4,['left'],1026
22,4,w1,v2,-4,v1,4,['left'],1410
22,5,m2,v2,-4,c1,4,['left'],1299
22,6,m1,v1,-4,v2,4,['left'],1904
22,7,w2,v1,4,v2,-4,['right'],1694
22,8,m2,c2,4,v1,-4,['right'],1187
22,9,m2,v2,4,c1,-4,['right'],1149
22,10,m1,c1,4,v2,-4,['right'],992
22,11,w2,v1,-4,v2,4,['left'],714
22,12,m1,v1,-4,v2,4,['left'],1006
22,13,w1,v2,4,v1,-4,['right'],1064
22,14,w2,c2,4,c1,-4,['right'],1518
22,15,w2,c2,4,c1,-4,['right'],851
22,16,w1,c1,-4,c2,4,['left'],930
