trial, progress in trial, Presented Person, Smpled-Stim, SmpledStim-Location, FalseStim, FalseStim-Location, Pressed Key, Reaction Time
1,1,w2,v1,4,v2,-4,['right'],1254
1,2,w2,v1,-4,c1,4,['left'],932
1,3,w1,c1,4,c2,-4,['left'],1207
2,1,m2,v2,-4,v1,4,['right'],911
3,1,m1,c1,4,c2,-4,['right'],746
3,2,w2,v1,-4,v2,4,['left'],1166
3,3,m2,c2,-4,v1,4,['left'],960
3,4,m1,v1,-4,v2,4,['right'],1074
4,1,m2,c2,4,v1,-4,['right'],708
4,2,w2,c2,4,c1,-4,['right'],865
4,3,m2,v2,4,v1,-4,['left'],1095
5,1,m2,c2,-4,c1,4,['left'],610
5,2,w1,v2,4,v1,-4,['right'],915
5,3,w2,v1,-4,v2,4,['left'],831
5,4,w2,c2,-4,c1,4,['left'],726
5,5,m1,v1,-4,c2,4,['left'],1266
5,6,m1,c1,-4,v2,4,['left'],649
5,7,w1,c1,-4,v1,4,['left'],1160
5,8,m2,c2,4,c1,-4,['right'],714
5,9,w1,v2,4,c2,-4,['right'],895
5,10,m2,v2,-4,c1,4,['left'],1212
5,11,m1,v1,4,v2,-4,['right'],1148
5,12,w2,v1,4,c1,-4,['right'],1432
5,13,w1,c1,4,v1,-4,['right'],1248
5,14,m2,v2,-4,v1,4,['right'],1447
6,1,w2,c2,4,v2,-4,['left'],1112
7,1,w1,v2,-4,v1,4,['left'],948
7,2,w1,v2,-4,v1,4,['left'],807
7,3,w2,v1,4,c1,-4,['right'],1473
7,4,w1,c1,4,c2,-4,['right'],1023
7,5,w2,v1,4,c1,-4,['right'],920
7,6,w2,c2,4,c1,-4,['left'],908
8,1,m1,v1,4,c2,-4,['right'],1005
8,2,w1,v2,4,v1,-4,['right'],582
8,3,w1,c1,-4,v1,4,['left'],1031
8,4,m2,v2,-4,c1,4,['left'],1663
8,5,w1,c1,-4,v1,4,['left'],934
8,6,m2,v2,4,v1,-4,['right'],1162
8,7,w2,c2,-4,v2,4,['left'],2564
9,1,w2,v1,-4,v2,4,['left'],727
9,2,w2,c2,-4,v2,4,['left'],1259
9,3,m2,v2,-4,c1,4,['left'],794
9,4,m1,c1,4,c2,-4,['right'],995
9,5,m2,c2,-4,c1,4,['left'],812
9,6,w1,v2,-4,c2,4,['left'],996
9,7,m2,c2,-4,c1,4,['left'],798
9,8,w2,v1,-4,v2,4,['left'],887
9,9,w1,c1,4,v1,-4,['right'],989
9,10,w2,c2,-4,v2,4,['right'],1582
10,1,w1,c1,-4,v1,4,['left'],1066
10,2,w1,v2,-4,c2,4,['left'],928
10,3,m2,c2,-4,c1,4,['left'],556
10,4,w2,v1,-4,v2,4,['left'],831
10,5,m2,v2,4,c1,-4,['right'],1031
10,6,m1,v1,4,c2,-4,['right'],999
10,7,m1,v1,-4,v2,4,['left'],888
10,8,w2,c2,4,c1,-4,['right'],1326
10,9,m2,c2,4,v1,-4,['right'],802
10,10,m1,c1,-4,v2,4,['left'],1228
10,11,w2,v1,-4,c1,4,['left'],1108
10,12,w2,c2,4,c1,-4,['right'],921
10,13,w1,c1,4,v1,-4,['right'],941
10,14,m1,c1,-4,c2,4,['left'],1209
10,15,w1,v2,4,v1,-4,['right'],874
10,16,m2,v2,4,c1,-4,['right'],865
