trial, progress in trial, Presented Person, Smpled-Stim, SmpledStim-Location, FalseStim, FalseStim-Location, Pressed Key, Reaction Time
1,1,m2,v2,-4,c1,4,['left'],6733
2,1,w2,v1,4,c1,-4,None,8000
3,1,w1,v2,-4,c2,4,['right'],4175
4,1,w1,v2,4,c2,-4,['left'],1092
5,1,m2,v2,-4,c1,4,['left'],1575
5,2,w1,c1,4,v1,-4,['right'],1370
5,3,m2,c2,4,v1,-4,['right'],1525
5,4,w1,v2,4,v1,-4,['right'],1705
5,5,m2,c2,4,v1,-4,['right'],1527
5,6,m2,v2,4,v1,-4,['right'],1243
5,7,m1,c1,4,v2,-4,['right'],1875
5,8,m1,v1,4,c2,-4,['right'],1921
5,9,m1,c1,4,c2,-4,['left'],1486
6,1,m1,v1,-4,c2,4,['left'],2234
6,2,w2,c2,4,v2,-4,['right'],2338
6,3,m2,v2,4,v1,-4,['right'],1054
6,4,w2,c2,4,c1,-4,['right'],1263
6,5,w1,c1,4,v1,-4,['right'],1858
6,6,w1,v2,-4,c2,4,['left'],1234
6,7,w2,v1,4,v2,-4,['right'],1545
6,8,m1,c1,4,v2,-4,['left'],2013
7,1,w2,v1,4,c1,-4,['right'],1813
7,2,m2,v2,-4,v1,4,['left'],1469
7,3,m2,v2,4,v1,-4,['right'],1612
7,4,w2,v1,4,c1,-4,['right'],1317
7,5,w2,c2,4,c1,-4,['right'],2329
7,6,m2,c2,4,c1,-4,['right'],2150
7,7,w1,v2,-4,v1,4,['left'],1305
7,8,m1,v1,-4,c2,4,['left'],2454
7,9,m2,c2,4,v1,-4,['right'],886
7,10,m1,c1,4,c2,-4,['right'],1388
7,11,w1,v2,4,c2,-4,['right'],2510
8,1,w2,v1,4,c1,-4,['right'],1817
8,2,m2,v2,4,v1,-4,['right'],970
8,3,m1,c1,4,c2,-4,['right'],1084
8,4,m1,v1,-4,v2,4,['left'],1040
8,5,m1,v1,4,c2,-4,['right'],1408
8,6,w1,v2,-4,c2,4,['left'],1130
8,7,m2,v2,4,v1,-4,['right'],989
8,8,w2,c2,-4,c1,4,['left'],2567
9,1,m1,c1,-4,c2,4,['left'],1712
9,2,m1,v1,-4,c2,4,['left'],1221
9,3,w1,c1,-4,c2,4,['right'],1830
10,1,m1,c1,-4,v2,4,['left'],1777
10,2,w2,v1,-4,c1,4,['left'],2771
11,1,w2,v1,4,v2,-4,['right'],914
11,2,m1,v1,-4,v2,4,['left'],2166
11,3,m2,v2,4,c1,-4,['right'],961
11,4,w1,c1,4,c2,-4,['right'],1195
11,5,m1,c1,4,c2,-4,['right'],1381
11,6,w2,c2,-4,c1,4,['left'],967
11,7,m1,v1,-4,v2,4,['left'],1001
11,8,m2,c2,-4,c1,4,['left'],1290
11,9,m2,c2,-4,c1,4,['left'],840
11,10,m1,c1,4,c2,-4,['right'],848
11,11,w2,v1,-4,v2,4,['left'],1207
11,12,w1,v2,4,c2,-4,['right'],1169
11,13,w1,c1,4,v1,-4,['right'],1355
11,14,m2,v2,-4,v1,4,['left'],790
11,15,w2,c2,-4,c1,4,['left'],1088
11,16,w1,v2,-4,c2,4,['left'],854
