trial, progress in trial, Presented Person, Smpled-Stim, SmpledStim-Location, FalseStim, FalseStim-Location, Pressed Key, Reaction Time
1,1,m2,v2,4,c1,-4,['right'],2569
2,1,w2,c2,4,c1,-4,['left'],1219
3,1,w1,v2,-4,v1,4,['left'],1026
3,2,m2,c2,-4,v1,4,['left'],1514
3,3,m1,v1,4,v2,-4,['right'],1087
3,4,w2,v1,-4,c1,4,['left'],1989
3,5,m2,c2,4,v1,-4,['left'],878
4,1,m2,c2,4,v1,-4,['right'],1098
4,2,w1,c1,-4,c2,4,['left'],1120
4,3,w1,v2,-4,v1,4,['right'],1356
5,1,w2,v1,-4,v2,4,['left'],1131
5,2,w1,v2,-4,v1,4,['right'],1503
6,1,w2,c2,-4,v2,4,['right'],1779
7,1,m1,v1,4,c2,-4,['right'],1802
7,2,m2,c2,4,c1,-4,['left'],915
8,1,w1,c1,-4,c2,4,['left'],1122
8,2,m1,c1,4,v2,-4,['right'],1471
8,3,w2,c2,-4,c1,4,['left'],1301
8,4,w2,v1,4,c1,-4,['right'],1202
8,5,m1,v1,4,v2,-4,['right'],1716
8,6,m2,c2,-4,c1,4,['left'],905
8,7,m1,v1,4,v2,-4,['right'],1390
8,8,w1,c1,-4,c2,4,['right'],1688
9,1,w1,c1,-4,v1,4,['left'],1635
9,2,w2,c2,-4,c1,4,['left'],1051
9,3,m1,v1,-4,c2,4,['left'],938
9,4,m1,c1,-4,c2,4,['right'],1726
10,1,w2,c2,4,v2,-4,['right'],1977
10,2,w1,v2,-4,c2,4,['left'],1739
10,3,w1,v2,4,c2,-4,['right'],1031
10,4,w2,v1,4,v2,-4,['right'],1087
10,5,m1,c1,-4,v2,4,['left'],1813
10,6,m2,v2,4,v1,-4,['right'],2206
10,7,m2,c2,4,v1,-4,['left'],1143
11,1,m1,v1,4,v2,-4,['right'],2181
11,2,m2,c2,4,v1,-4,['right'],959
11,3,m2,c2,4,v1,-4,['right'],866
11,4,w2,c2,4,v2,-4,['left'],1345
12,1,w1,v2,4,v1,-4,['right'],1292
12,2,m2,v2,-4,c1,4,['right'],826
13,1,w2,v1,4,c1,-4,['left'],1845
14,1,w2,v1,4,c1,-4,['left'],2324
15,1,m1,v1,4,c2,-4,['right'],2073
15,2,m1,c1,-4,c2,4,['left'],1304
15,3,w2,v1,-4,c1,4,['left'],1508
15,4,m1,v1,4,v2,-4,['right'],1888
15,5,m2,v2,4,v1,-4,['right'],1447
15,6,w2,v1,4,v2,-4,['right'],2126
15,7,w1,v2,-4,c2,4,['left'],1547
15,8,w2,c2,4,v2,-4,['right'],1974
15,9,m2,c2,4,v1,-4,['right'],1785
15,10,w1,v2,4,c2,-4,['right'],1739
15,11,w1,c1,-4,v1,4,['left'],5567
16,1,w1,v2,-4,c2,4,['left'],1632
16,2,w1,c1,4,v1,-4,['right'],1416
16,3,w2,c2,-4,v2,4,['left'],720
16,4,m1,c1,-4,c2,4,['left'],1421
16,5,m1,v1,-4,v2,4,['left'],1437
16,6,m1,v1,4,v2,-4,['right'],989
16,7,m1,c1,4,v2,-4,['right'],1061
16,8,w2,c2,-4,c1,4,['left'],1500
16,9,w2,v1,-4,c1,4,['left'],1241
16,10,m2,v2,-4,c1,4,['left'],1609
16,11,w2,v1,-4,v2,4,['left'],1546
16,12,m2,c2,-4,v1,4,['left'],1235
16,13,m2,c2,4,c1,-4,['right'],1028
16,14,w1,c1,-4,c2,4,['left'],1628
16,15,m2,v2,4,v1,-4,['right'],1604
16,16,w1,v2,4,c2,-4,['right'],1317
