trial, progress in trial, Presented Person, Smpled-Stim, SmpledStim-Location, FalseStim, FalseStim-Location, Pressed Key, Reaction Time
1,1,w2,c2,4,c1,-4,['left'],1301
2,1,w1,v2,-4,c2,4,['left'],4573
3,1,w2,c2,4,v2,-4,['right'],2161
3,2,m1,c1,-4,c2,4,['left'],1852
3,3,w1,v2,-4,c2,4,['left'],2436
3,4,w1,c1,-4,v1,4,['left'],2300
3,5,w1,c1,4,c2,-4,['left'],2465
4,1,m1,c1,4,v2,-4,['right'],1013
4,2,w1,v2,4,c2,-4,['right'],1637
4,3,w2,c2,-4,v2,4,['left'],1757
4,4,m2,c2,-4,v1,4,['left'],2585
5,1,w2,v1,-4,v2,4,['left'],4406
6,1,w1,v2,-4,v1,4,['left'],2440
6,2,w1,c1,4,v1,-4,['right'],1513
6,3,m2,c2,-4,c1,4,['left'],2685
7,1,w1,c1,4,c2,-4,['right'],910
7,2,w2,c2,4,c1,-4,['left'],1402
8,1,w2,v1,-4,v2,4,['left'],1986
8,2,m2,c2,4,c1,-4,['left'],1348
9,1,w1,c1,-4,c2,4,['left'],1181
9,2,m2,c2,4,c1,-4,['right'],1031
9,3,w1,v2,-4,c2,4,['left'],3439
10,1,w1,v2,4,v1,-4,['right'],2659
11,1,w2,v1,-4,v2,4,['left'],1467
11,2,w2,c2,4,c1,-4,['right'],1618
11,3,m1,c1,-4,c2,4,['left'],1066
11,4,w1,c1,-4,v1,4,['left'],1881
11,5,w2,c2,4,v2,-4,['right'],1591
11,6,w1,c1,-4,c2,4,['left'],1289
11,7,w1,v2,4,v1,-4,['right'],2567
12,1,m1,c1,-4,v2,4,['left'],1031
12,2,m2,v2,4,c1,-4,['right'],2159
12,3,m2,c2,4,v1,-4,['right'],1234
12,4,w1,v2,-4,v1,4,['left'],2402
12,5,w1,c1,-4,v1,4,['left'],1380
12,6,w2,c2,-4,v2,4,['left'],1966
12,7,m1,v1,4,c2,-4,['right'],2017
12,8,w1,c1,-4,c2,4,['left'],1657
12,9,m2,c2,-4,v1,4,['left'],1481
12,10,w2,v1,4,c1,-4,['right'],2087
12,11,m1,v1,-4,c2,4,['left'],1437
12,12,m2,v2,4,v1,-4,['right'],1493
12,13,w2,v1,-4,c1,4,['left'],1578
12,14,m1,c1,-4,c2,4,['left'],1329
12,15,w2,c2,-4,v2,4,['left'],1846
12,16,w1,v2,4,v1,-4,['left'],2677
