trial, progress in trial, Presented Person, Smpled-Stim, SmpledStim-Location, FalseStim, FalseStim-Location, Pressed Key, Reaction Time
1,1,m2,c2,-4,v1,4,['left'],2818
2,1,m2,c2,4,c1,-4,['right'],2903
3,1,w2,v1,4,v2,-4,['right'],2804
4,1,m2,c2,-4,v1,4,['left'],1188
4,2,m2,v2,4,c1,-4,['right'],1742
4,3,w1,v2,4,c2,-4,['right'],2210
4,4,m1,c1,-4,v2,4,['left'],1043
4,5,w2,v1,-4,c1,4,['left'],2018
4,6,w2,c2,-4,c1,4,['right'],2139
5,1,m1,v1,4,v2,-4,['right'],2496
5,2,m2,c2,4,v1,-4,['right'],1042
5,3,m2,v2,4,c1,-4,['right'],1731
5,4,m2,c2,-4,c1,4,['left'],1943
5,5,w1,c1,4,c2,-4,['left'],2787
6,1,w1,c1,-4,c2,4,['right'],1684
7,1,w1,c1,-4,v1,4,['left'],1450
7,2,m1,v1,4,c2,-4,['right'],1793
7,3,w1,v2,-4,v1,4,['left'],1218
7,4,w2,c2,-4,c1,4,['left'],3699
8,1,w1,v2,-4,c2,4,['left'],1598
8,2,w1,c1,-4,c2,4,['left'],1432
8,3,m1,v1,-4,c2,4,['left'],768
8,4,m1,c1,-4,v2,4,['left'],2218
8,5,w1,c1,-4,c2,4,['left'],2515
9,1,m1,v1,-4,c2,4,['left'],1056
9,2,m2,v2,-4,v1,4,['left'],1895
9,3,m2,c2,-4,c1,4,['left'],821
9,4,m2,c2,-4,c1,4,['left'],789
9,5,m2,v2,4,v1,-4,['right'],1599
9,6,m1,c1,4,v2,-4,['right'],1264
9,7,m1,c1,-4,v2,4,['left'],1167
9,8,w1,c1,4,c2,-4,['right'],1537
9,9,m1,v1,-4,c2,4,['left'],1093
9,10,w2,c2,-4,v2,4,['right'],2651
10,1,w1,v2,-4,c2,4,['right'],1773
11,1,w2,v1,4,v2,-4,['right'],1373
11,2,w1,v2,-4,v1,4,['left'],1088
11,3,w2,c2,-4,v2,4,['left'],1886
11,4,m1,v1,-4,v2,4,['left'],819
11,5,m1,c1,-4,c2,4,['left'],1292
11,6,m1,c1,4,c2,-4,['right'],650
11,7,w1,c1,-4,c2,4,['right'],1447
12,1,m1,c1,-4,c2,4,['left'],854
12,2,w1,c1,-4,v1,4,['right'],1389
13,1,m2,v2,-4,v1,4,['left'],1142
13,2,m1,v1,4,c2,-4,['right'],1122
13,3,m1,c1,-4,v2,4,['left'],694
13,4,m1,v1,4,v2,-4,['right'],1555
13,5,w2,c2,4,c1,-4,['right'],1855
13,6,m2,c2,-4,v1,4,['left'],1126
13,7,m1,c1,-4,v2,4,['left'],811
13,8,w1,c1,4,c2,-4,['right'],1123
13,9,w2,v1,4,c1,-4,['right'],1272
13,10,w1,v2,-4,c2,4,['left'],1830
13,11,w1,c1,4,c2,-4,['right'],1718
13,12,w2,v1,-4,v2,4,['left'],1451
13,13,w1,v2,-4,v1,4,['left'],2755
14,1,m2,v2,4,c1,-4,['left'],1581
15,1,m1,v1,4,c2,-4,['right'],896
15,2,w1,c1,4,c2,-4,['right'],1717
15,3,m2,c2,4,c1,-4,['right'],1282
15,4,w2,c2,4,c1,-4,['right'],1304
15,5,w1,v2,4,c2,-4,['right'],1013
15,6,w2,v1,4,c1,-4,['right'],1054
15,7,m1,c1,4,c2,-4,['right'],1021
15,8,w1,c1,4,v1,-4,['right'],1406
15,9,m1,c1,4,c2,-4,['right'],1071
15,10,m2,c2,-4,v1,4,['left'],1259
15,11,w1,v2,-4,v1,4,['left'],1242
15,12,m2,v2,-4,c1,4,['left'],1594
15,13,w2,c2,-4,v2,4,['left'],1035
15,14,m2,v2,4,v1,-4,['right'],1219
15,15,w2,v1,-4,c1,4,['left'],1788
15,16,m1,v1,4,c2,-4,['right'],1286
