trial, progress in trial, Presented Person, Smpled-Stim, SmpledStim-Location, FalseStim, FalseStim-Location, Pressed Key, Reaction Time
1,1,m2,v2,-4,v1,4,['left'],1999
1,2,m1,c1,4,c2,-4,['left'],2121
2,1,w1,c1,-4,v1,4,['left'],2663
3,1,m1,v1,-4,c2,4,['right'],1083
4,1,m1,c1,-4,c2,4,['left'],1077
4,2,m1,c1,-4,v2,4,['left'],1187
4,3,m2,v2,4,c1,-4,['right'],1157
4,4,w2,c2,-4,v2,4,['left'],1456
4,5,w1,c1,-4,c2,4,['left'],1215
4,6,m1,v1,-4,c2,4,['right'],1159
5,1,w2,v1,4,v2,-4,['right'],1059
5,2,m2,c2,4,v1,-4,['right'],1234
5,3,w2,v1,4,v2,-4,['right'],850
5,4,w2,c2,4,c1,-4,['right'],1240
5,5,m1,v1,-4,c2,4,['left'],1113
5,6,w1,c1,4,v1,-4,['right'],1213
5,7,m2,v2,-4,v1,4,['left'],1062
5,8,m2,v2,4,v1,-4,['right'],1380
5,9,m1,c1,4,v2,-4,['right'],1606
5,10,w1,v2,-4,c2,4,['left'],2032
5,11,m1,c1,4,v2,-4,['right'],864
5,12,m1,v1,4,v2,-4,['right'],1462
5,13,m2,c2,4,c1,-4,['right'],1109
5,14,w1,c1,-4,c2,4,['left'],1194
5,15,w1,v2,-4,v1,4,['left'],1435
5,16,w2,c2,4,c1,-4,['right'],2035
