trial, progress in trial, Presented Person, Smpled-Stim, SmpledStim-Location, FalseStim, FalseStim-Location, Pressed Key, Reaction Time
1,1,w2,v1,4,v2,-4,['right'],7693
2,1,m1,c1,-4,c2,4,['left'],1358
2,2,w1,v2,4,c2,-4,['right'],6041
3,1,m1,v1,4,v2,-4,['right'],1929
3,2,m1,v1,-4,c2,4,['right'],2133
4,1,m1,c1,4,v2,-4,['right'],1786
4,2,m2,c2,-4,c1,4,['left'],1292
4,3,w2,v1,-4,v2,4,['left'],1298
4,4,m1,v1,4,v2,-4,['right'],1896
4,5,m1,v1,4,c2,-4,['right'],1541
4,6,w1,c1,-4,v1,4,['left'],2006
4,7,m2,v2,4,v1,-4,['right'],1163
4,8,w2,c2,-4,c1,4,['left'],2457
4,9,w2,c2,4,c1,-4,['right'],2632
5,1,w1,v2,-4,c2,4,['right'],1996
6,1,m1,c1,-4,c2,4,['left'],1555
6,2,m1,v1,-4,c2,4,['right'],1238
7,1,m2,v2,4,c1,-4,['right'],1458
7,2,m2,c2,4,c1,-4,['right'],1786
7,3,w1,v2,4,v1,-4,['right'],2188
7,4,m1,c1,4,c2,-4,['right'],1606
7,5,m2,c2,4,c1,-4,['right'],952
7,6,m2,v2,-4,c1,4,['left'],2131
7,7,w2,v1,-4,v2,4,['left'],1679
7,8,w2,c2,4,v2,-4,['right'],1869
7,9,m1,v1,-4,v2,4,['left'],1900
7,10,m1,v1,4,c2,-4,['right'],1401
7,11,w1,c1,-4,c2,4,['left'],2218
7,12,w2,v1,4,v2,-4,['right'],1603
7,13,w1,c1,4,v1,-4,['right'],1837
7,14,m1,c1,-4,v2,4,['left'],2365
7,15,w1,v2,4,c2,-4,['right'],1728
7,16,w2,c2,-4,c1,4,['right'],2052
