trial, progress in trial, Presented Person, Smpled-Stim, SmpledStim-Location, FalseStim, FalseStim-Location, Pressed Key, Reaction Time
1,1,m2,c2,4,v1,-4,['right'],2991
2,1,m2,c2,4,v1,-4,['right'],1663
2,2,m1,v1,-4,v2,4,['left'],1142
2,3,w1,c1,-4,v1,4,['left'],1841
2,4,w1,v2,-4,c2,4,['left'],1346
2,5,w2,c2,4,c1,-4,['right'],1477
2,6,w1,v2,-4,c2,4,['left'],859
2,7,w2,v1,4,v2,-4,['right'],1306
2,8,m2,v2,4,v1,-4,['right'],1359
2,9,m2,v2,-4,c1,4,['left'],1555
2,10,w2,v1,-4,c1,4,['left'],934
2,11,w1,c1,-4,v1,4,['left'],1162
2,12,m1,c1,-4,v2,4,['left'],1468
2,13,m1,c1,-4,c2,4,['left'],1571
2,14,m2,c2,-4,v1,4,['left'],1310
2,15,w2,c2,-4,v2,4,['right'],1978
3,1,m1,v1,4,v2,-4,['right'],1362
3,2,w2,c2,4,v2,-4,['right'],2485
3,3,m1,c1,4,v2,-4,['right'],1467
3,4,w1,c1,-4,c2,4,['right'],2722
4,1,m2,c2,-4,c1,4,['left'],1202
4,2,m1,c1,-4,v2,4,['left'],1324
4,3,m2,v2,-4,c1,4,['left'],1920
4,4,m2,v2,-4,c1,4,['left'],1173
4,5,w1,v2,4,v1,-4,['right'],1792
4,6,w2,c2,-4,v2,4,['left'],1418
4,7,m1,v1,4,c2,-4,['right'],1115
4,8,m2,c2,4,c1,-4,['right'],1367
4,9,w1,c1,4,v1,-4,['right'],1338
4,10,m1,v1,-4,c2,4,['left'],926
4,11,w2,v1,4,v2,-4,['right'],1258
4,12,m1,c1,4,v2,-4,['right'],1626
4,13,w1,v2,4,v1,-4,['right'],1874
4,14,w2,c2,4,v2,-4,['right'],1153
4,15,w2,v1,4,v2,-4,['right'],1292
4,16,w1,c1,4,c2,-4,['right'],1754
