trial, progress in trial, Presented Person, Smpled-Stim, SmpledStim-Location, FalseStim, FalseStim-Location, Pressed Key, Reaction Time
1,1,w1,c1,4,v1,-4,['right'],6855
2,1,w2,c2,4,v2,-4,['right'],1619
2,2,m1,v1,4,v2,-4,['right'],1652
2,3,m1,c1,-4,c2,4,['left'],1667
2,4,w1,c1,-4,v1,4,['right'],1058
3,1,m2,v2,-4,c1,4,['left'],1729
3,2,w1,v2,4,c2,-4,['left'],1957
4,1,m2,c2,4,v1,-4,['right'],1542
4,2,w1,c1,4,c2,-4,['right'],1738
4,3,w2,c2,4,c1,-4,['right'],1390
4,4,w1,v2,-4,v1,4,['right'],1393
5,1,w1,c1,4,c2,-4,['right'],1639
5,2,m1,c1,4,v2,-4,['right'],2143
5,3,m1,v1,-4,c2,4,['left'],1506
5,4,m2,v2,4,c1,-4,['right'],1583
5,5,m1,c1,4,v2,-4,['right'],1025
5,6,m1,v1,4,c2,-4,['right'],1802
5,7,w2,v1,-4,c1,4,['left'],1652
5,8,w2,v1,-4,v2,4,['left'],819
5,9,w1,v2,-4,c2,4,['left'],1923
5,10,m2,c2,-4,v1,4,['left'],1552
5,11,w2,c2,4,v2,-4,['right'],2188
5,12,w1,c1,4,c2,-4,['right'],2686
6,1,w2,c2,4,v2,-4,['right'],1746
6,2,w2,c2,4,c1,-4,['right'],1958
6,3,m1,c1,4,c2,-4,['right'],1570
6,4,m1,v1,-4,v2,4,['left'],804
6,5,w1,v2,4,c2,-4,['right'],2581
7,1,m2,c2,4,v1,-4,['left'],748
8,1,m2,c2,4,c1,-4,['right'],1523
8,2,w2,c2,-4,c1,4,['left'],1088
8,3,w1,v2,-4,c2,4,['left'],2414
8,4,w1,v2,4,v1,-4,['right'],1015
8,5,m1,v1,4,v2,-4,['right'],1047
8,6,m2,v2,-4,v1,4,['left'],719
8,7,m2,c2,-4,v1,4,['left'],1891
8,8,m1,c1,-4,v2,4,['left'],753
8,9,w2,v1,-4,v2,4,['left'],916
8,10,m1,v1,-4,c2,4,['left'],593
8,11,w1,c1,4,c2,-4,['left'],2578
9,1,m1,v1,4,c2,-4,['right'],1046
9,2,w2,v1,-4,v2,4,['left'],574
9,3,w2,c2,-4,c1,4,['left'],1208
9,4,m1,c1,4,c2,-4,['right'],1217
9,5,w1,c1,-4,v1,4,['left'],1082
9,6,m2,c2,-4,c1,4,['left'],1752
9,7,w2,v1,4,v2,-4,['right'],851
9,8,m1,v1,4,v2,-4,['right'],922
9,9,w2,c2,4,c1,-4,['right'],1270
9,10,w1,v2,-4,c2,4,['left'],1893
9,11,w1,c1,-4,c2,4,['left'],1307
9,12,m2,v2,4,c1,-4,['right'],1696
9,13,m1,c1,4,c2,-4,['right'],3661
10,1,m1,c1,-4,v2,4,['left'],885
10,2,w1,c1,4,c2,-4,['right'],1635
10,3,w1,v2,-4,v1,4,['left'],1315
10,4,m2,c2,4,v1,-4,['right'],1064
10,5,m2,c2,-4,c1,4,['left'],1758
10,6,m1,v1,4,v2,-4,['right'],938
10,7,w2,v1,4,v2,-4,['right'],973
10,8,m2,v2,4,c1,-4,['right'],1528
10,9,m1,c1,4,v2,-4,['right'],1844
10,10,m1,v1,-4,v2,4,['left'],955
10,11,m2,v2,-4,c1,4,['left'],1639
10,12,w2,c2,-4,v2,4,['left'],1831
10,13,w1,v2,4,v1,-4,['right'],1135
10,14,w2,c2,4,c1,-4,['right'],2107
10,15,w2,v1,4,c1,-4,['right'],1000
10,16,w1,c1,4,v1,-4,['right'],985
