trial, progress in trial, Presented Person, Smpled-Stim, SmpledStim-Location, FalseStim, FalseStim-Location, Pressed Key, Reaction Time
1,1,w2,c2,-4,v2,4,['left'],3818
2,1,m2,v2,4,c1,-4,['right'],1161
2,2,w1,c1,-4,v1,4,['right'],1691
3,1,m2,c2,-4,c1,4,['left'],3010
4,1,w2,c2,-4,c1,4,['left'],1462
4,2,w1,v2,4,c2,-4,['right'],1795
4,3,w2,v1,4,v2,-4,['right'],950
4,4,w1,v2,4,v1,-4,['right'],2105
4,5,m1,v1,4,v2,-4,['right'],1783
4,6,m1,v1,-4,v2,4,['left'],913
4,7,m1,c1,4,c2,-4,['right'],2245
4,8,w1,c1,-4,c2,4,['right'],2581
5,1,w1,c1,4,v1,-4,['right'],1734
5,2,m2,v2,-4,v1,4,['left'],2530
6,1,m2,c2,-4,c1,4,['left'],2076
6,2,w1,v2,-4,c2,4,['left'],1354
6,3,w2,v1,-4,c1,4,['left'],1085
6,4,w1,c1,4,c2,-4,['right'],2507
7,1,w2,v1,4,v2,-4,['right'],1306
7,2,w1,c1,-4,v1,4,['right'],2503
8,1,m1,v1,-4,c2,4,None,8000
9,1,w1,v2,4,c2,-4,['right'],1732
9,2,w2,v1,-4,v2,4,['left'],913
9,3,m2,v2,4,v1,-4,['right'],1957
9,4,w2,c2,-4,c1,4,['left'],1376
9,5,m1,v1,-4,v2,4,['left'],1026
9,6,m2,v2,4,v1,-4,['right'],1178
9,7,w1,c1,4,c2,-4,['right'],1780
9,8,w2,c2,-4,c1,4,['left'],1102
9,9,w2,v1,4,c1,-4,['right'],1276
9,10,w1,v2,-4,c2,4,['left'],1922
9,11,m2,c2,4,c1,-4,['right'],2327
9,12,m1,v1,4,c2,-4,['right'],1059
9,13,m1,c1,4,c2,-4,['right'],1794
9,14,w1,c1,-4,v1,4,['left'],2412
9,15,m2,c2,-4,c1,4,['left'],1493
9,16,m1,c1,-4,v2,4,['left'],1330
