trial, progress in trial, Presented Person, Smpled-Stim, SmpledStim-Location, FalseStim, FalseStim-Location, Pressed Key, Reaction Time
1,1,m1,v1,4,c2,-4,['left'],2375
2,1,m2,c2,4,c1,-4,['right'],999
2,2,w1,v2,-4,v1,4,['left'],2744
3,1,m2,c2,-4,v1,4,['left'],1020
3,2,m1,v1,-4,v2,4,['left'],1372
3,3,m1,c1,-4,v2,4,['left'],1047
3,4,w1,c1,-4,c2,4,['left'],1710
3,5,m1,v1,-4,v2,4,['left'],1555
3,6,w1,c1,-4,c2,4,['right'],1534
4,1,w2,v1,-4,v2,4,['left'],1709
4,2,w2,c2,4,c1,-4,['right'],1330
4,3,m1,c1,4,c2,-4,['right'],894
4,4,w1,v2,-4,c2,4,['left'],1131
4,5,m2,c2,4,v1,-4,['right'],791
4,6,m2,v2,4,v1,-4,['right'],2041
4,7,w2,v1,-4,v2,4,['right'],1929
5,1,m2,v2,-4,v1,4,['left'],900
5,2,m1,c1,-4,v2,4,['left'],1000
5,3,w1,v2,4,v1,-4,['right'],1137
5,4,w2,c2,-4,c1,4,['left'],1253
5,5,m2,c2,-4,c1,4,['left'],1636
5,6,m2,v2,4,v1,-4,['right'],1068
5,7,w1,c1,4,c2,-4,['left'],1131
6,1,m2,v2,-4,c1,4,['left'],755
6,2,w1,v2,4,v1,-4,['right'],1478
6,3,m1,c1,-4,v2,4,['left'],988
6,4,w2,v1,4,v2,-4,['right'],1118
6,5,m2,c2,4,c1,-4,['right'],1034
6,6,w2,c2,-4,v2,4,['right'],2306
7,1,w2,c2,4,c1,-4,['right'],1478
7,2,m2,c2,4,v1,-4,['right'],932
7,3,w1,c1,4,v1,-4,['left'],1696
8,1,w1,v2,-4,v1,4,['left'],1528
8,2,w1,v2,-4,v1,4,['left'],636
8,3,m2,c2,4,v1,-4,['right'],852
8,4,w2,c2,-4,v2,4,['left'],746
8,5,m1,c1,-4,c2,4,['left'],1294
8,6,w2,v1,4,v2,-4,['right'],2619
9,1,w2,c2,4,c1,-4,['right'],1184
9,2,m1,c1,-4,v2,4,['left'],1050
9,3,m2,v2,4,c1,-4,['right'],945
9,4,w1,c1,-4,c2,4,['left'],2077
9,5,w2,v1,-4,v2,4,['left'],1411
9,6,m1,c1,4,v2,-4,['right'],1195
9,7,w2,c2,4,c1,-4,['right'],1885
9,8,m2,c2,4,v1,-4,['right'],707
9,9,w2,v1,-4,v2,4,['left'],2240
9,10,w1,v2,-4,v1,4,['left'],1576
9,11,m2,c2,4,c1,-4,['right'],826
9,12,m1,v1,-4,v2,4,['left'],2715
10,1,m1,v1,-4,v2,4,['left'],1067
10,2,w1,c1,-4,v1,4,['left'],1842
10,3,w2,c2,4,c1,-4,['right'],1114
10,4,w2,v1,4,v2,-4,['left'],1767
11,1,m1,v1,4,c2,-4,['right'],1568
11,2,m1,c1,-4,v2,4,['left'],1283
11,3,m2,v2,-4,v1,4,['left'],857
11,4,m1,c1,4,v2,-4,['right'],816
11,5,w2,c2,-4,v2,4,['left'],1120
11,6,w1,v2,4,v1,-4,['right'],1309
11,7,m1,v1,4,c2,-4,['right'],994
11,8,w1,v2,-4,v1,4,['left'],3115
12,1,w2,c2,-4,c1,4,['left'],1935
12,2,w1,v2,4,v1,-4,['right'],1235
12,3,w2,c2,-4,v2,4,['left'],1099
12,4,m1,c1,-4,v2,4,['left'],1104
12,5,w1,c1,-4,c2,4,['left'],1243
12,6,m1,v1,4,v2,-4,['right'],1586
12,7,m2,c2,-4,v1,4,['left'],652
12,8,m2,v2,-4,v1,4,['left'],1139
12,9,w2,v1,-4,v2,4,['left'],935
12,10,m1,c1,4,c2,-4,['right'],1091
12,11,w1,v2,-4,c2,4,['left'],1113
12,12,w1,c1,-4,v1,4,['left'],1453
12,13,m2,c2,-4,v1,4,['left'],909
12,14,m1,v1,-4,c2,4,['left'],938
12,15,m2,v2,4,c1,-4,['right'],1206
12,16,w2,v1,4,c1,-4,['right'],1879
