trial, progress in trial, Presented Person, Smpled-Stim, SmpledStim-Location, FalseStim, FalseStim-Location, Pressed Key, Reaction Time
1,1,m2,v2,-4,v1,4,['left'],2144
1,2,w2,c2,-4,v2,4,['left'],2651
2,1,m1,c1,4,c2,-4,['left'],1219
3,1,w2,v1,-4,v2,4,['left'],1400
3,2,m2,v2,-4,v1,4,['left'],922
3,3,m2,c2,4,c1,-4,['right'],838
3,4,m1,v1,4,c2,-4,['right'],806
3,5,w2,v1,4,v2,-4,['left'],799
4,1,m1,v1,-4,c2,4,['left'],1125
4,2,w2,c2,-4,v2,4,['right'],986
5,1,m1,c1,-4,c2,4,['left'],1144
5,2,m2,c2,4,c1,-4,['right'],788
5,3,w2,v1,-4,v2,4,['right'],1077
6,1,w2,v1,4,c1,-4,['right'],859
6,2,m2,c2,4,v1,-4,['right'],1282
6,3,m1,c1,-4,c2,4,['right'],2160
7,1,m2,v2,-4,v1,4,['left'],1898
7,2,m2,v2,4,c1,-4,['left'],815
8,1,w1,v2,-4,c2,4,['right'],1835
9,1,m2,c2,-4,v1,4,['left'],1021
9,2,w1,v2,-4,v1,4,['left'],1166
9,3,m1,v1,4,v2,-4,['right'],1360
9,4,m2,c2,-4,c1,4,['left'],787
9,5,w2,c2,-4,c1,4,['left'],1189
9,6,m2,v2,-4,c1,4,['left'],1159
9,7,w2,v1,4,v2,-4,['right'],1330
9,8,w1,c1,4,c2,-4,['left'],1430
10,1,w2,c2,-4,c1,4,['left'],1141
10,2,m2,c2,-4,v1,4,['left'],809
10,3,w2,v1,4,v2,-4,['right'],2290
10,4,w1,v2,4,v1,-4,['right'],1585
10,5,m1,v1,-4,c2,4,['left'],1123
10,6,w2,v1,4,v2,-4,['right'],2503
11,1,w2,v1,-4,c1,4,['left'],1252
11,2,w1,v2,-4,c2,4,['left'],1123
11,3,m1,c1,-4,c2,4,['left'],1216
11,4,m2,v2,-4,v1,4,['left'],960
11,5,m1,c1,-4,v2,4,['right'],1099
12,1,w1,c1,-4,v1,4,['left'],2378
12,2,w2,v1,-4,v2,4,['right'],1868
13,1,m1,v1,4,c2,-4,['right'],919
13,2,w1,v2,-4,c2,4,['right'],972
14,1,w2,v1,-4,c1,4,['left'],1075
14,2,m2,c2,4,v1,-4,['right'],714
14,3,m1,c1,-4,c2,4,['left'],1142
14,4,m1,c1,-4,v2,4,['left'],1418
14,5,w1,v2,-4,c2,4,['right'],1067
15,1,m1,c1,-4,c2,4,['left'],881
15,2,w2,v1,4,v2,-4,['right'],1318
15,3,m2,c2,-4,v1,4,['left'],819
15,4,m1,v1,-4,v2,4,['left'],1132
15,5,w2,c2,4,v2,-4,['right'],1023
15,6,w1,c1,4,v1,-4,['right'],1894
15,7,w2,v1,4,c1,-4,['right'],2123
15,8,w1,c1,-4,v1,4,['left'],1392
15,9,m2,c2,-4,v1,4,['left'],834
15,10,m2,v2,4,v1,-4,['right'],1762
15,11,m1,c1,-4,v2,4,['left'],1069
15,12,w1,v2,4,v1,-4,['right'],1492
15,13,w1,v2,-4,c2,4,['right'],1105
16,1,w2,c2,4,v2,-4,['right'],1443
16,2,w1,v2,-4,v1,4,['left'],2995
17,1,m1,v1,-4,c2,4,['left'],1249
17,2,w2,v1,4,c1,-4,['right'],1713
17,3,w1,v2,-4,v1,4,['left'],741
17,4,w1,v2,4,v1,-4,['right'],1393
17,5,m1,c1,-4,v2,4,['left'],1066
17,6,m2,c2,4,v1,-4,['right'],1033
17,7,m1,c1,4,c2,-4,['right'],1185
17,8,w1,c1,4,v1,-4,['right'],1835
17,9,m2,c2,-4,v1,4,['left'],1299
17,10,m2,v2,4,c1,-4,['right'],1833
17,11,w1,c1,4,v1,-4,['right'],1526
17,12,w2,v1,-4,c1,4,['left'],2666
18,1,m1,c1,4,v2,-4,['right'],1756
18,2,m1,v1,-4,c2,4,['left'],1104
18,3,w1,c1,4,c2,-4,['right'],1525
18,4,w1,c1,-4,v1,4,['left'],1874
18,5,w2,v1,-4,v2,4,['left'],1721
18,6,w1,v2,-4,c2,4,['left'],2197
18,7,m2,c2,4,c1,-4,['right'],695
18,8,m1,v1,-4,c2,4,['left'],1540
18,9,m2,c2,4,v1,-4,['right'],888
18,10,m2,v2,4,v1,-4,['right'],1126
18,11,m1,c1,4,c2,-4,['right'],1754
18,12,w2,c2,4,c1,-4,['right'],822
18,13,w2,v1,4,v2,-4,['right'],1276
18,14,w2,c2,4,c1,-4,['right'],1186
18,15,w1,v2,-4,c2,4,['left'],1102
18,16,m2,v2,4,c1,-4,['right'],1240
