trial, progress in trial, Presented Person, Smpled-Stim, SmpledStim-Location, FalseStim, FalseStim-Location, Pressed Key, Reaction Time
1,1,m2,v2,-4,c1,4,['left'],2501
2,1,m1,c1,4,c2,-4,['left'],1388
3,1,w1,v2,-4,v1,4,['left'],1063
3,2,m2,v2,4,c1,-4,['right'],957
3,3,w1,c1,4,c2,-4,['left'],1312
4,1,w1,v2,4,v1,-4,['right'],759
4,2,m2,v2,4,c1,-4,['right'],866
4,3,m1,v1,-4,c2,4,['left'],816
4,4,w1,v2,4,v1,-4,['right'],790
4,5,m2,c2,-4,c1,4,['right'],1288
5,1,w1,v2,-4,v1,4,['left'],637
5,2,m2,c2,4,v1,-4,['right'],812
5,3,w1,v2,-4,c2,4,['left'],690
5,4,m1,v1,4,v2,-4,['right'],856
5,5,w1,c1,-4,v1,4,['left'],679
5,6,m1,c1,-4,c2,4,['left'],1573
5,7,w2,v1,-4,v2,4,['left'],839
5,8,m1,c1,4,c2,-4,['left'],1023
6,1,m2,v2,4,c1,-4,['right'],669
6,2,w1,v2,4,c2,-4,['right'],747
6,3,m1,c1,4,c2,-4,['left'],854
7,1,w1,c1,4,c2,-4,['left'],1478
8,1,w1,v2,4,c2,-4,['right'],1005
8,2,m1,v1,4,v2,-4,['right'],902
8,3,w2,v1,-4,v2,4,['left'],531
8,4,w2,v1,-4,c1,4,['right'],1246
9,1,m1,c1,-4,v2,4,['left'],866
9,2,m2,c2,4,c1,-4,['right'],801
9,3,m2,v2,4,c1,-4,['right'],698
9,4,m2,v2,4,v1,-4,['right'],735
9,5,m2,c2,4,v1,-4,['left'],930
10,1,w2,v1,-4,v2,4,['left'],873
10,2,w2,c2,-4,c1,4,['left'],832
10,3,w1,c1,4,v1,-4,['right'],760
10,4,m2,c2,4,c1,-4,['right'],938
10,5,m2,c2,-4,v1,4,['right'],806
11,1,m2,c2,4,v1,-4,['right'],685
11,2,m1,v1,-4,v2,4,['left'],1379
11,3,m2,c2,4,c1,-4,['right'],613
11,4,w1,v2,-4,c2,4,['left'],1061
11,5,m1,v1,-4,c2,4,['left'],907
11,6,w2,v1,-4,v2,4,['left'],1041
11,7,m1,c1,4,c2,-4,['right'],1193
11,8,w1,c1,4,c2,-4,['left'],1098
12,1,m1,v1,4,c2,-4,['right'],1152
12,2,m2,c2,4,v1,-4,['right'],915
12,3,w1,v2,4,c2,-4,['right'],935
12,4,m2,v2,4,v1,-4,['right'],803
12,5,m2,v2,-4,c1,4,['left'],844
12,6,w1,v2,-4,v1,4,['left'],1076
12,7,w2,c2,4,c1,-4,['right'],1130
12,8,m1,c1,-4,v2,4,['left'],910
12,9,w2,v1,-4,v2,4,['left'],1099
12,10,m2,c2,4,v1,-4,['right'],839
12,11,w2,c2,4,c1,-4,['left'],1007
13,1,m1,v1,4,v2,-4,['right'],1388
13,2,m1,c1,4,v2,-4,['right'],1102
13,3,w2,v1,4,c1,-4,['right'],1420
13,4,w2,v1,4,v2,-4,['right'],820
13,5,w2,c2,-4,v2,4,['left'],1013
13,6,m1,c1,4,c2,-4,['right'],925
13,7,m2,c2,-4,c1,4,['left'],1434
13,8,w1,v2,4,v1,-4,['right'],962
13,9,m2,v2,4,v1,-4,['right'],716
13,10,m2,c2,4,c1,-4,['right'],785
13,11,w1,v2,4,v1,-4,['right'],963
13,12,m2,v2,4,v1,-4,['right'],741
13,13,w1,c1,-4,v1,4,['left'],1321
13,14,w2,c2,4,v2,-4,['right'],1045
13,15,m1,v1,4,c2,-4,['right'],1565
13,16,w1,c1,-4,v1,4,['left'],967
