trial, progress in trial, Presented Person, Smpled-Stim, SmpledStim-Location, FalseStim, FalseStim-Location, Pressed Key, Reaction Time
1,1,w1,c1,4,c2,-4,['left'],3823
2,1,w1,c1,4,c2,-4,['right'],809
2,2,w2,c2,-4,c1,4,['left'],2354
2,3,w2,v1,4,c1,-4,['right'],1278
2,4,w1,c1,-4,c2,4,['left'],2436
2,5,m2,v2,-4,c1,4,['left'],1860
2,6,m1,c1,4,v2,-4,['left'],4019
3,1,w2,v1,4,c1,-4,['right'],1550
3,2,m1,c1,-4,c2,4,['right'],2514
4,1,m1,v1,4,v2,-4,['right'],2883
5,1,m2,v2,4,v1,-4,['right'],1690
5,2,w1,v2,-4,c2,4,['left'],1736
5,3,w1,c1,4,v1,-4,['right'],964
5,4,w2,c2,4,c1,-4,['left'],2502
6,1,m1,c1,-4,v2,4,['right'],1142
7,1,w2,c2,4,c1,-4,['right'],3148
8,1,w2,c2,4,v2,-4,['right'],525
8,2,m2,v2,4,c1,-4,['right'],1377
8,3,m2,c2,4,c1,-4,['left'],3459
9,1,w1,c1,4,v1,-4,['right'],2950
10,1,w1,c1,4,v1,-4,['right'],575
10,2,m1,c1,-4,c2,4,['left'],3226
11,1,w2,c2,4,c1,-4,['left'],1064
12,1,w1,v2,4,v1,-4,['right'],1324
12,2,w1,c1,-4,c2,4,['left'],929
12,3,m2,c2,4,v1,-4,['right'],2269
12,4,m1,v1,-4,c2,4,['left'],2419
12,5,w2,v1,4,c1,-4,['right'],1445
12,6,m2,v2,4,c1,-4,['right'],1564
12,7,m1,c1,4,v2,-4,['right'],4188
13,1,w1,c1,-4,c2,4,['left'],1463
13,2,m2,c2,4,c1,-4,['right'],1919
13,3,m1,c1,-4,c2,4,['left'],1145
13,4,w2,c2,-4,v2,4,['left'],1644
13,5,m1,c1,-4,v2,4,['left'],1275
13,6,m2,v2,4,v1,-4,['right'],2250
13,7,w1,v2,-4,c2,4,['right'],1466
14,1,m1,v1,4,v2,-4,['left'],894
15,1,w1,c1,-4,c2,4,['left'],1529
15,2,m1,v1,-4,c2,4,['left'],1885
15,3,m1,v1,-4,c2,4,['left'],1427
15,4,w1,v2,4,c2,-4,['right'],987
15,5,m1,c1,4,v2,-4,['right'],2093
15,6,w2,c2,4,c1,-4,['left'],1619
16,1,w1,v2,-4,v1,4,['left'],2421
16,2,m2,v2,-4,c1,4,['left'],1782
16,3,w2,v1,4,v2,-4,['right'],1408
16,4,m1,v1,4,c2,-4,['right'],1482
16,5,w1,c1,-4,c2,4,['right'],2752
17,1,m1,v1,4,v2,-4,['right'],2095
17,2,m2,v2,-4,c1,4,['left'],1980
17,3,m1,c1,4,v2,-4,['right'],1455
17,4,w1,v2,4,c2,-4,['right'],1422
17,5,w2,v1,4,v2,-4,['right'],878
17,6,w2,v1,4,v2,-4,['right'],972
17,7,m2,c2,-4,c1,4,['left'],1959
17,8,m2,v2,4,c1,-4,['right'],1434
17,9,m2,c2,4,c1,-4,['right'],1890
17,10,w1,c1,-4,v1,4,['left'],1752
17,11,w1,c1,4,v1,-4,['right'],1348
17,12,w1,v2,4,v1,-4,['right'],1351
17,13,m1,v1,4,v2,-4,['right'],1730
17,14,w2,c2,-4,v2,4,['left'],2014
17,15,w2,c2,-4,c1,4,['left'],1151
17,16,m1,c1,-4,v2,4,['left'],2770
