trial, progress in trial, Presented Person, Smpled-Stim, SmpledStim-Location, FalseStim, FalseStim-Location, Pressed Key, Reaction Time
1,1,w2,c2,-4,c1,4,['left'],4952
2,1,w1,v2,4,v1,-4,['right'],98
2,2,m1,c1,4,v2,-4,['left'],3630
3,1,m1,c1,4,c2,-4,['right'],2438
3,2,w1,c1,-4,v1,4,['right'],4822
4,1,w2,c2,4,v2,-4,['left'],3532
5,1,m1,v1,-4,v2,4,['left'],2907
6,1,w2,v1,-4,v2,4,['left'],3677
7,1,w2,v1,4,v2,-4,['right'],1026
7,2,m1,v1,-4,v2,4,['left'],1629
7,3,w2,c2,-4,c1,4,['right'],1245
8,1,m2,v2,4,v1,-4,['right'],1567
8,2,m2,c2,-4,v1,4,['left'],1281
8,3,m1,c1,4,c2,-4,['right'],2031
8,4,w1,v2,4,c2,-4,['left'],2598
9,1,m1,c1,-4,c2,4,['left'],1934
9,2,w1,v2,4,c2,-4,['right'],2443
9,3,w1,v2,-4,c2,4,['left'],955
9,4,w1,c1,-4,v1,4,['left'],3494
10,1,m1,c1,4,v2,-4,['right'],1373
10,2,w2,v1,-4,v2,4,['left'],1560
10,3,m2,c2,4,v1,-4,['right'],1067
10,4,m1,v1,-4,v2,4,['left'],1058
10,5,w1,v2,4,c2,-4,['right'],1193
10,6,m2,v2,4,c1,-4,['right'],1283
10,7,m1,c1,-4,v2,4,['left'],1121
10,8,w1,v2,-4,c2,4,['left'],1269
10,9,w2,v1,4,v2,-4,['right'],2180
10,10,m1,v1,-4,c2,4,['right'],2134
11,1,m2,c2,-4,v1,4,['left'],958
11,2,m1,c1,-4,v2,4,['left'],1441
11,3,w2,c2,4,v2,-4,['left'],4209
12,1,w2,v1,-4,c1,4,['left'],1574
12,2,w1,c1,4,v1,-4,['left'],1862
13,1,w2,c2,-4,v2,4,['right'],1172
14,1,m2,v2,-4,v1,4,['left'],1892
14,2,w2,v1,-4,v2,4,['right'],1439
15,1,w1,v2,-4,v1,4,['left'],1477
15,2,m1,c1,-4,v2,4,['left'],1252
15,3,w1,c1,4,v1,-4,['left'],1675
16,1,w2,v1,4,c1,-4,['right'],1038
16,2,m2,c2,4,v1,-4,['right'],1006
16,3,w1,c1,4,c2,-4,['left'],1719
17,1,w1,c1,-4,c2,4,['left'],1458
17,2,w2,c2,4,v2,-4,['left'],762
18,1,m1,c1,-4,c2,4,['left'],1932
18,2,w2,c2,4,v2,-4,['left'],704
19,1,w1,v2,-4,v1,4,['right'],1611
20,1,m1,c1,-4,c2,4,['left'],1421
20,2,w1,v2,4,v1,-4,['right'],870
20,3,m1,v1,-4,c2,4,['right'],1228
21,1,m2,v2,-4,c1,4,['left'],1051
21,2,w1,c1,4,c2,-4,['right'],1394
21,3,m2,v2,-4,c1,4,['right'],980
22,1,w1,c1,4,v1,-4,['left'],1610
23,1,m1,v1,4,v2,-4,['right'],1356
23,2,m2,c2,-4,c1,4,['right'],2855
24,1,w2,c2,-4,v2,4,['right'],754
25,1,w1,v2,4,v1,-4,['right'],2054
25,2,w2,c2,-4,c1,4,['left'],2501
26,1,w1,v2,4,c2,-4,['right'],1221
26,2,w1,v2,4,v1,-4,['right'],1422
26,3,m1,c1,4,v2,-4,['right'],982
26,4,m1,v1,4,c2,-4,['right'],1424
26,5,w2,v1,-4,c1,4,['right'],1377
27,1,w2,c2,4,v2,-4,['left'],1725
28,1,m1,v1,4,c2,-4,['right'],1209
28,2,m1,v1,4,c2,-4,['right'],842
28,3,w1,c1,-4,c2,4,['left'],2034
28,4,w1,c1,-4,c2,4,['left'],1241
28,5,w2,v1,-4,v2,4,['left'],794
28,6,m2,v2,4,v1,-4,['right'],2044
28,7,w2,v1,4,c1,-4,['right'],924
28,8,w2,c2,4,v2,-4,['left'],1832
29,1,w1,c1,-4,c2,4,['left'],1970
29,2,w2,v1,4,c1,-4,['right'],780
29,3,w2,c2,-4,v2,4,['right'],1694
30,1,m1,v1,4,v2,-4,['right'],941
30,2,w2,v1,4,c1,-4,['right'],945
30,3,m2,c2,4,c1,-4,['right'],2332
30,4,w2,c2,-4,v2,4,['left'],1400
30,5,m1,v1,-4,v2,4,['left'],1826
30,6,w2,v1,4,c1,-4,['right'],963
30,7,w2,c2,4,c1,-4,['right'],2133
30,8,w1,c1,4,v1,-4,['left'],2201
31,1,w2,v1,-4,v2,4,['left'],1042
31,2,w1,v2,4,c2,-4,['right'],1282
31,3,w1,v2,4,c2,-4,['right'],816
31,4,w1,c1,-4,c2,4,['left'],2224
31,5,w2,c2,-4,v2,4,['left'],1593
31,6,m2,c2,-4,v1,4,['left'],1731
31,7,w1,c1,-4,c2,4,['left'],2215
31,8,m1,c1,-4,c2,4,['left'],1280
31,9,m2,v2,4,v1,-4,['right'],1774
31,10,m1,c1,4,v2,-4,['right'],1393
31,11,m1,v1,4,c2,-4,['right'],2651
32,1,w1,v2,4,c2,-4,['right'],1375
32,2,m1,v1,4,v2,-4,['right'],1122
32,3,m2,c2,-4,v1,4,['left'],887
32,4,w1,c1,-4,c2,4,['left'],2026
32,5,w1,v2,4,c2,-4,['right'],1187
32,6,m2,c2,4,v1,-4,['right'],893
32,7,w2,v1,-4,v2,4,['right'],2043
33,1,m2,v2,-4,c1,4,['right'],1371
34,1,w2,c2,4,v2,-4,['left'],2531
35,1,m2,v2,4,c1,-4,['right'],1467
35,2,m1,c1,-4,c2,4,['left'],1274
35,3,m1,c1,-4,v2,4,['left'],1296
35,4,w2,c2,4,v2,-4,['right'],3581
36,1,m1,c1,4,v2,-4,['right'],1040
36,2,w1,v2,4,v1,-4,['right'],1816
36,3,m2,c2,4,v1,-4,['right'],2624
37,1,w2,v1,4,v2,-4,['right'],841
37,2,w2,c2,-4,c1,4,['right'],1136
38,1,m2,v2,-4,c1,4,['right'],999
39,1,w1,c1,4,v1,-4,['right'],1285
39,2,m2,v2,4,v1,-4,['right'],1835
39,3,m2,c2,4,v1,-4,['right'],1260
39,4,w1,c1,-4,c2,4,['left'],1378
39,5,w2,c2,4,c1,-4,['right'],1869
39,6,m1,v1,-4,c2,4,['right'],1419
40,1,m2,c2,-4,c1,4,['left'],1383
40,2,m2,c2,4,v1,-4,['right'],1121
40,3,w1,v2,-4,v1,4,['right'],1101
41,1,m1,v1,-4,c2,4,['right'],1264
42,1,w1,c1,4,v1,-4,['right'],1543
42,2,w2,v1,-4,v2,4,['left'],1275
42,3,m1,c1,4,v2,-4,['right'],857
42,4,w1,v2,4,v1,-4,['right'],1200
42,5,m2,v2,-4,v1,4,['right'],1218
43,1,w2,c2,4,c1,-4,['left'],1522
44,1,w1,c1,4,c2,-4,['right'],1450
44,2,m2,c2,4,c1,-4,['right'],1674
44,3,m2,c2,-4,v1,4,['left'],801
44,4,w2,c2,4,v2,-4,['right'],1970
44,5,w2,c2,-4,c1,4,['left'],1061
44,6,m2,v2,-4,v1,4,['left'],1580
44,7,m1,v1,-4,v2,4,['left'],862
44,8,w2,v1,4,c1,-4,['right'],1028
44,9,w1,c1,4,c2,-4,['right'],2021
44,10,m1,c1,4,v2,-4,['right'],846
44,11,m2,v2,-4,v1,4,['left'],1834
44,12,w1,v2,4,v1,-4,['right'],1875
44,13,w2,v1,-4,c1,4,['left'],938
44,14,w1,v2,4,v1,-4,['right'],1693
44,15,m1,c1,4,c2,-4,['right'],1060
44,16,m1,v1,4,c2,-4,['left'],2315
