trial, progress in trial, Presented Person, Smpled-Stim, SmpledStim-Location, FalseStim, FalseStim-Location, Pressed Key, Reaction Time
1,1,m2,v2,-4,v1,4,['left'],5353
2,1,w1,v2,-4,c2,4,['left'],1249
2,2,w2,c2,-4,c1,4,['right'],1184
3,1,w2,v1,-4,c1,4,['left'],1261
3,2,m1,c1,4,v2,-4,['right'],1516
3,3,m2,v2,-4,v1,4,['left'],1177
3,4,w1,v2,-4,v1,4,['left'],995
3,5,m2,c2,-4,v1,4,['left'],2060
3,6,m1,v1,-4,c2,4,['left'],2347
3,7,m2,v2,4,v1,-4,['right'],1014
3,8,m1,c1,4,v2,-4,['right'],1519
3,9,w1,c1,4,v1,-4,['right'],1171
3,10,w2,v1,-4,c1,4,['left'],1485
3,11,w2,c2,4,v2,-4,['right'],1571
3,12,w2,c2,4,c1,-4,['right'],2542
4,1,m2,c2,-4,c1,4,['right'],1524
5,1,w1,v2,-4,v1,4,['left'],1065
5,2,m1,c1,4,c2,-4,['right'],1431
5,3,w2,v1,-4,v2,4,['left'],1135
5,4,m1,v1,4,v2,-4,['right'],1347
5,5,m1,c1,4,c2,-4,['right'],1190
5,6,m2,c2,4,v1,-4,['right'],1600
5,7,m2,c2,-4,c1,4,['left'],1258
5,8,w1,c1,-4,c2,4,['right'],1666
6,1,m2,c2,4,v1,-4,['right'],1274
6,2,m1,c1,-4,c2,4,['left'],953
6,3,m2,v2,4,c1,-4,['right'],1300
6,4,w2,c2,4,v2,-4,['right'],1465
6,5,w1,c1,-4,v1,4,['left'],1088
6,6,m2,v2,4,c1,-4,['right'],886
6,7,w1,c1,-4,v1,4,['left'],1107
6,8,w2,v1,4,v2,-4,['right'],1225
6,9,m2,c2,-4,c1,4,['left'],2721
7,1,w1,v2,-4,v1,4,['left'],858
7,2,w2,v1,-4,v2,4,['left'],985
7,3,m2,c2,4,c1,-4,['right'],1387
7,4,w2,c2,4,v2,-4,['left'],981
8,1,m2,c2,4,v1,-4,['right'],1920
8,2,m1,c1,-4,v2,4,['left'],1181
8,3,m2,c2,-4,c1,4,['left'],2390
8,4,w1,v2,4,c2,-4,['right'],833
8,5,w1,v2,4,v1,-4,['right'],737
8,6,w2,c2,-4,v2,4,['left'],1212
8,7,m1,v1,-4,v2,4,['left'],1077
8,8,w2,v1,4,c1,-4,['right'],1219
8,9,m1,v1,4,c2,-4,['right'],1435
8,10,w1,c1,4,v1,-4,['right'],1251
8,11,m2,v2,4,v1,-4,['right'],1139
8,12,w2,v1,-4,v2,4,['left'],1045
8,13,w1,c1,-4,v1,4,['left'],1540
8,14,m2,v2,-4,c1,4,['left'],1056
8,15,w2,c2,4,c1,-4,['right'],1815
8,16,m1,c1,4,v2,-4,['right'],1398
