trial, progress in trial, Presented Person, Smpled-Stim, SmpledStim-Location, FalseStim, FalseStim-Location, Pressed Key, Reaction Time
1,1,w2,v1,-4,v2,4,['left'],2540
2,1,w2,v1,-4,v2,4,['left'],553
2,2,m1,v1,-4,c2,4,['right'],1803
3,1,m2,c2,4,v1,-4,['right'],1350
3,2,w1,c1,-4,c2,4,['right'],1569
4,1,m2,v2,4,v1,-4,['right'],1680
4,2,m2,c2,-4,c1,4,['left'],934
4,3,m1,c1,4,c2,-4,['left'],1402
5,1,m1,c1,-4,c2,4,['left'],1818
5,2,m1,v1,4,v2,-4,['right'],1242
5,3,m2,c2,-4,c1,4,['left'],1354
5,4,w1,v2,4,c2,-4,['left'],2189
6,1,w1,v2,-4,c2,4,['left'],1446
6,2,m2,v2,4,v1,-4,['right'],1526
6,3,w1,v2,4,v1,-4,['right'],1842
6,4,w2,v1,4,v2,-4,['right'],1211
6,5,m2,c2,4,v1,-4,['right'],1219
6,6,m1,c1,-4,c2,4,['left'],1628
6,7,m1,c1,-4,c2,4,['left'],1244
6,8,m2,v2,-4,c1,4,['left'],1563
6,9,w1,c1,-4,c2,4,['left'],2221
6,10,m2,c2,4,c1,-4,['right'],1118
6,11,w2,c2,4,c1,-4,['right'],2091
6,12,w2,c2,4,v2,-4,['right'],1241
6,13,w2,v1,-4,v2,4,['left'],881
6,14,m1,v1,4,c2,-4,['right'],1191
6,15,m1,v1,-4,v2,4,['left'],849
6,16,w1,c1,-4,v1,4,['left'],2416
